id|answer_index|anwer|alternate_answer|answer_value|answer_value_type|answer_description|answer_image|image_source|image_source_url|answer_dimensions|quiz_id|active
867|85|Jessica Biel||30013|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/abbc039c-8bba-421b-27e1-332d4ae7fc00/public|Georges Biard|Georges Biard|cover|42|1
868|86|Orlando Bloom||28138|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9e3269e4-76df-45a1-e08e-69f144a4f200/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Asiebelt&action=edit&redlink=1|cover|42|1
869|87|Fergie||27480|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e6ab3446-6cf7-49d6-34ee-c06787520400/public|Flickr|https://www.flickr.com/photos/walmartcorporate/|cover|42|1
870|88|Katie Holmes||28842|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4d80646f-1f3e-49a0-215f-58b3662a8100/public|Public Domain|Public domain|cover|42|1
871|89|Tara Reid||27706|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/1b38513c-d221-4488-2d90-372983c61c00/public|Flickr|https://www.flickr.com/people/27238804@N03|cover|42|1
872|90|Jennifer Lawrence||33100|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ea2ecda4-35d6-4014-b6db-de1e65909900/public|Flickr|https://www.flickr.com/photos/gageskidmore/|cover|42|1
873|91|Nicki Minaj||30293|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bb80934f-7f3b-42fe-268a-87e9aaa4b400/public|vimeo.com/puredope|https://vimeo.com/puredope|cover|42|1
874|92|Emma Stone||32453|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3b6b8ff7-ede3-4f44-6dc1-45a409e5d700/public|Flickr|https://www.flickr.com/photos/drlovell/|cover|42|1
875|93|Chris Pratt||29027|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/477b5b5c-eba5-405f-827f-11de043cb200/public|Flickr|https://www.flickr.com/people/14277183@N05|cover|42|1
876|94|Cardi B||33888|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/47432a44-cf2d-4a3a-28b5-15c612afa600/public|vimeo.com/user62885533|https://vimeo.com/user62885533|cover|42|1
877|95|Drake||31709|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/de943eab-3831-4e1c-aa71-10ef3c60ae00/public|The Come Up Show|The Come Up Show|cover|42|1
878|96|Adele||32268|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2f1adb58-7971-4ba6-aca8-5d2c0114cf00/public|Vogue Taiwan|Vogue Taiwan|cover|42|1
879|97|Ariana Grande||34146|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5db98452-b7cf-4ecc-cfaf-8afe8bb1f200/public|vimeo.com/puredope|https://vimeo.com/puredope|cover|42|1
880|98|Jonah Hill||30670|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3da17f77-561b-440a-b712-bc480b09cf00/public|Harald Krichel|Harald Krichel|cover|42|1
881|99|Selena Gomez||33807|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/1e8b4693-1a7a-4c17-d713-0607f23d0000/public|Public Domain|Public domain|cover|42|1
882|100|Hugh Jackman||25123|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/23c722ba-34b9-4dc3-d170-298da2385200/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Queryzo|cover|42|1
883|101|Matt Damon||25849|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/75b2677f-1c8f-4a22-0bb1-c7380e8dd200/public|Public Domain|Public domain|cover|42|1
884|102|Cate Blanchett||25337|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/72b60948-da5b-4ada-eef1-2f578d850800/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Harald_Krichel|cover|42|1
885|103|Denzel Washington||20076|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ab613aba-c5c1-4164-badf-089cf3a8f700/public|Flickr|https://www.flickr.com/people/57638320@N00|cover|42|1
886|104|Channing Tatum||29337|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f6d7c883-2600-48d3-86e2-f378a260fd00/public|Gage Skidmore|Gage Skidmore|cover|42|1
887|105|John Legend||28852|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/91eec0bb-81b6-4176-4354-2f4d8f1ffe00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Toglenn|cover|42|1
888|106|Ryan Gosling||29537|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/77c5bf3c-7ba0-452c-da52-c0059e63a800/public|NASA/Aubrey Gemignani|NASA/Aubrey Gemignani|cover|42|1
889|107|Anne Hathaway||30267|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f77db24b-90fd-4181-b9b9-47f409c2ca00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Franci_DB|cover|42|1
890|108|Matthew McConaughey||25511|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cc53b82a-7aff-4f8d-043b-a265d53f5d00/public|Flickr|https://www.flickr.com/people/10457902@N08|cover|42|1
891|109|Natalie Portman||29746|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/b2947dfe-01f4-4cb8-423f-ea167ea5e700/public|Flickr|https://www.flickr.com/people/22007612@N05|cover|42|1
892|110|Christian Bale||27059|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/883dd6ec-566c-4790-dd10-b64e91228a00/public|Harald Krichel|Harald Krichel|cover|42|1
893|111|Ralph Fiennes||23002|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/29aa4929-d552-412d-d8e0-03f6cd308400/public|Flickr|https://www.flickr.com/people/31029865@N06|cover|42|1
894|112|Joseph Gordon-Levitt||29634|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/73775400-9720-4df7-c23a-7427f6968c00/public|Gage Skidmore|Gage Skidmore|cover|42|1
895|113|Jake Gyllenhaal||29574|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ea55b7ee-c953-4f16-34fa-3f0fbb9ebc00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Toglenn|cover|42|1
896|114|Tilda Swinton||22225|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/144f66e0-b333-40ab-71df-36858ad3b200/public|Gage Skidmore|Gage Skidmore|cover|42|1
897|115|Charlize Theron||27613|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/028419d5-8b34-4674-d9d4-40374c40ed00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Fuzheado|cover|42|1
898|116|Gary Oldman||21265|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/41f87c6a-6fd0-4e4a-452d-f198d058f600/public|Gage Skidmore|Gage Skidmore|cover|42|1
899|117|Julianne Moore||22253|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/73c6cd24-b32a-4bf5-e5ec-c4383c4b8f00/public|Flickr|https://www.flickr.com/people/14277183@N05|cover|42|1
900|118|Robert De Niro||15935|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4c775f3d-ff07-4232-6d86-fcdfa9c74c00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Che|cover|42|1
901|119|Chris Rock||23780|date_age||https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f4043e5c-d31d-42e0-8c11-5d501381f000/public|GDC Graphics|gdcgraphics|cover|42|1
902|1|Tokyo||37274000|number|Tokyo - Japan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c7848cee-45d9-4567-11fe-92399320d000/public|Flickr|https://www.flickr.com/people/33389938@N00|cover|43|1
903|2|Delhi||32065760|number|Delhi - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/166f4183-2559-4e27-a118-f6d74759eb00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Sfu|cover|43|1
904|3|Shanghai||28516904|number|Shanghai - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7675fc64-71a0-424e-f4cb-8002c9c55900/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:King_of_Hearts|cover|43|1
905|4|Dhaka||22478116|number|Dhaka - Bangladesh|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5241d7cc-e2f5-4f8c-3f7b-059703f6cc00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Soman|cover|43|1
906|5|Sao Paulo||22429800|number|Sao Paulo - Brazil|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4cfd1a65-96fd-486c-5408-ab6fdc1a4700/public|Flickr|https://www.flickr.com/people/22185138@N00|cover|43|1
907|6|Mexico City||22085140|number|Mexico City - Mexico|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d727b7ec-c45b-4b25-6266-b548b8e9e700/public|Flickr|https://www.flickr.com/people/140660272@N07|cover|43|1
908|7|Cairo||21750020|number|Cairo - Egypt|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2d11e3fe-7dfb-4af2-164c-8102563d3900/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Es.kmalo&action=edit&redlink=1|cover|43|1
909|8|Beijing||21333332|number|Beijing - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/1185552d-632c-4290-a3ba-5cfe718f0400/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:N509FZ|cover|43|1
910|9|Mumbai||20961472|number|Mumbai - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/b3bacf4c-289d-451a-1ee1-dcb688480200/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Cididity_Hat&action=edit&redlink=1|cover|43|1
911|10|Osaka||19059856|number|Osaka - Japan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a9e4209b-6eaa-4dde-d0f2-69d66bc3c100/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Mc681|cover|43|1
912|11|Chongqing||16874740|number|Chongqing - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3094476d-afe4-419f-26ff-750979373a00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Harveychl|cover|43|1
913|12|Karachi||16839950|number|Karachi - Pakistan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3f5b8a15-326b-4302-13d8-39b07bde8700/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Bilalhassan88&action=edit&redlink=1|cover|43|1
914|13|Istanbul||15636243|number|Istanbul - Turkey|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a9579f88-620e-4b7b-b731-b6b6950e1b00/public|500px.com|https://500px.com/alexxx-malev|cover|43|1
915|14|Kinshasa||15628085|number|Kinshasa - DR Congo|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/87bb6bb5-7184-4e99-6ef3-fbd0a5310100/public|Flickr|https://www.flickr.com/people/67163702@N07|cover|43|1
916|15|Lagos||15387639|number|Lagos - Nigeria|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/117c8424-edfd-4caa-9b21-15c5fac20800/public|Flickr|https://www.flickr.com/people/126887487@N04|cover|43|1
917|16|Buenos Aires||15369919|number|Buenos Aires - Argentina|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/77bc9e44-214c-4396-0c8a-3285f686f400/public|Flickr|https://www.flickr.com/people/49699516@N06|cover|43|1
918|17|Kolkata||15133888|number|Kolkata - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f4595903-0c9e-4a7d-bf74-05d18412fb00/public|Wikidata|https://www.wikidata.org/wiki/Q56173187|cover|43|1
919|18|Manila||14406059|number|Manila - Philippines|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/565b4dcd-79e3-43c2-64f7-77ae2092e700/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Argenberg|cover|43|1
920|19|Tianjin||14011828|number|Tianjin - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/820b43c8-c254-4a69-e16e-0acf74ae1000/public|Flickr|https://www.flickr.com/people/58501191@N05|cover|43|1
921|20|Guangzhou||13964637|number|Guangzhou - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ae70899f-836a-4e3c-19ce-357ca0669d00/public|Flickr|https://www.flickr.com/people/xiquinho/|cover|43|1
922|21|Rio De Janeiro||13634274|number|Rio De Janeiro - Brazil|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/75dfdabb-c3ef-4427-3b20-c9e9a03a4400/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Rafael_Rabello_de_Barros&action=edit&redlink=1|cover|43|1
923|22|Lahore||13541764|number|Lahore - Pakistan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/dc612447-c889-4b99-37c4-4b7598fcaf00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Lime.adeel&action=edit&redlink=1|cover|43|1
924|23|Bangalore||13193035|number|Bangalore - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c9c3e2a3-12f1-4090-05e5-ad2b1b3ff500/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:KshitizBathwal&action=edit&redlink=1|cover|43|1
925|24|Shenzhen||12831330|number|Shenzhen - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c48e18d8-ab68-49cb-2235-ff49bbaffc00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Charlie_fong|cover|43|1
926|25|Moscow||12640818|number|Moscow - Russia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/df8057c9-5dc4-4f5f-b17b-60ae5c0f7f00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Alvesgaspar|cover|43|1
927|26|Chennai||11503293|number|Chennai - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cb14af19-d044-43d2-1b3a-7d8cfd22be00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:VtTN|cover|43|1
928|27|Bogota||11344312|number|Bogota - Colombia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c8146553-ef04-42d5-5782-aa490f643500/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Pedro_Felipe|cover|43|1
929|28|Paris||11142303|number|Paris - France|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/023cb6b2-fe41-4e6a-1e6e-0cc52b1d7700/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Taxiarchos228|cover|43|1
930|29|Jakarta||11074811|number|Jakarta - Indonesia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/04bbedaa-3937-4a93-55df-6f180f22b500/public|Flickr|https://www.flickr.com/photos/owiboy/7898154978/|cover|43|1
931|30|Lima||11044607|number|Lima - Peru|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/1b3a4b8d-0d61-45c8-ef2c-618ff6b4d000/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Mira4espina78y&action=edit&redlink=1|cover|43|1
932|31|Bangkok||10899698|number|Bangkok - Thailand|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/70b942bb-c375-4d48-1dc5-db2ca4b57d00/public|Flickr|https://www.flickr.com/people/37583176@N00|cover|43|1
933|32|Hyderabad||10534418|number|Hyderabad - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/087402ac-e15f-422d-5148-280103029500/public|twitter.com/iamsaikanth|https://twitter.com/iamsaikanth/status/1480039121108099072/photo/1|cover|43|1
934|33|Seoul||9975709|number|Seoul - South Korea|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7af03893-616c-4b6b-7766-6c97cd811100/public|Wiki Commons|https://commons.wikimedia.org/wiki/Category:Seoul_Fire_Services|cover|43|1
935|34|Nagoya||9571596|number|Nagoya - Japan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/02bf9ad6-ce8f-4b4b-7a8a-1ea9a0a2ee00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Nryate&action=edit&redlink=1|cover|43|1
936|35|London||9540576|number|London - United Kingdom|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/61afab6f-5594-4138-7d74-558745a81400/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Diliff|cover|43|1
937|36|Chengdu||9478521|number|Chengdu - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/36b5bc18-edee-4236-6fe0-67ba2c6a2d00/public|Youtube|https://www.youtube.com/watch?v=WMJMPDzTFEQ|cover|43|1
938|37|Nanjing||9429381|number|Nanjing - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/61d6aa89-c9b5-4785-faa3-2095ac30d800/public|Flickr|https://www.flickr.com/photos/alexrudd/|cover|43|1
939|38|Tehran||9381546|number|Tehran - Iran|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/618311ed-0976-4877-782a-dd6c311b6500/public|Wikidata|https://www.wikidata.org/wiki/Q96050296|cover|43|1
940|39|Ho Chi Minh City||9077158|number|Ho Chi Minh City - Vietnam|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/18def2ae-c46f-473b-efcd-490a0a99bd00/public|Flickr|https://www.flickr.com/photos/teuton1127/teuton1127|cover|43|1
941|40|Luanda||8952496|number|Luanda - Angola|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/96300baf-337c-4baf-3eca-4da95e590f00/public|Flickr|https://www.flickr.com/people/79721788@N00|cover|43|1
942|41|New York City||8930002|number|New York City - United States|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f8f9d48b-e303-4337-4c44-69db1fca2600/public|Kenneth Wilsey|FEMA/Kenneth Wilsey|cover|43|1
943|42|Wuhan||8591611|number|Wuhan - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/71f32578-2790-4bf6-1ded-504cd3a19500/public|Wikipedia|https://en.wikipedia.org/wiki/User:AndrewHorne|cover|43|1
944|43|Xi An Shaanxi||8537646|number|Xi An Shaanxi - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/55e88134-473c-42f7-42b5-dc51bb2eac00/public|Web Archive|https://web.archive.org/web/20161025060618/http://www.panoramio.com/user/5397823?with_photo_id=75960140|cover|43|1
945|44|Ahmedabad||8450228|number|Ahmedabad - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bbc2345f-f12d-4acd-2f93-c0f9d1e68800/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:BroKholi94|cover|43|1
946|45|Kuala Lumpur||8419566|number|Kuala Lumpur - Malaysia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7c1334cd-3d06-41a3-c38c-fb22f9c8ff00/public|Naim Fadll|naim fadil|cover|43|1
947|46|Hangzhou||8044878|number|Hangzhou - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f7440f03-cd1a-4288-5f9c-fb33ef70af00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:MasaneMiyaPA|cover|43|1
948|47|Surat||7784276|number|Surat - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6c82c5ac-7b82-474f-72ce-c5730387df00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Hemantisbest&action=edit&redlink=1|cover|43|1
949|48|Suzhou||7764499|number|Suzhou - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e767dd8b-4077-42e8-79c0-d1385ec0b800/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:%E9%92%89%E9%92%89|cover|43|1
950|49|Hong Kong||7643256|number|Hong Kong - Hong Kong|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/8426ed8d-d867-4c5e-2020-afeb175cd900/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Base64|cover|43|1
951|50|Riyadh||7538200|number|Riyadh - Saudi Arabia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6c060976-f231-4671-5257-12fb73d4b300/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:B.alotaby&action=edit&redlink=1|cover|43|1
952|51|Shenyang||7527975|number|Shenyang - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/033a3298-68fb-42cf-52db-1f9f99311f00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Techyan|cover|43|1
953|52|Baghdad||7511920|number|Baghdad - Iraq|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d664942a-b41d-489c-f7a8-cc2c1fac5c00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:MohammadHuzam|cover|43|1
954|53|Dongguan||7511851|number|Dongguan - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/02e29ff4-b839-4eb9-eff1-8ce94e4cf800/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:MichaelMichaelMichaels&action=edit&redlink=1|cover|43|1
955|54|Foshan||7497263|number|Foshan - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7d59a04c-d401-4fcd-983b-11af89533400/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Cryberghost|cover|43|1
956|55|Dar Es Salaam||7404689|number|Dar Es Salaam - Tanzania|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/98261267-6f04-4a89-35f6-a03b33ff7500/public|Wikipedia|https://en.wikipedia.org/wiki/User:Muhammad_Mahdi_Karim|cover|43|1
957|56|Pune||6987077|number|Pune - India|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/8cc67fe9-74b3-4f66-7a64-ab29a2b5fd00/public|Flickr|https://www.flickr.com/people/24311648@N00|cover|43|1
958|57|Santiago||6856939|number|Santiago - Chile|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c6e6292f-f948-475b-38f1-ab34b7582a00/public|Flickr|https://www.flickr.com/photos/87518488@N00|cover|43|1
959|58|Madrid||6713557|number|Madrid - Spain|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e38e0971-f6f4-4a97-2d0d-bf7d9777f000/public|Flickr|https://flickr.com/people/25716821@N04|cover|43|1
960|59|Haerbin||6665951|number|Haerbin - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e908f793-429b-4c17-9ad6-e21ee8034100/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Tomskyhaha|cover|43|1
961|60|Toronto||6312974|number|Toronto - Canada|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7be5ccae-326c-4977-acc5-f60ed493b700/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Aarondavis.01&action=edit&redlink=1|cover|43|1
962|61|Belo Horizonte||6194292|number|Belo Horizonte - Brazil|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c0fe06bd-0606-4852-9a5d-258063e51400/public|Flickr|https://www.flickr.com/photos/copagov/|cover|43|1
963|62|Khartoum||6160327|number|Khartoum - Sudan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f3d108ba-92ec-4cca-643b-9e8ed0468800/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Aamirco&action=edit&redlink=1|cover|43|1
964|63|Johannesburg||6065354|number|Johannesburg - South Africa|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/fca58c2e-9bf5-4200-ee8b-52053bd3c200/public|Wikipedia|https://de.wikipedia.org/wiki/user:Zakysant|cover|43|1
965|64|Singapore||6039577|number|Singapore - Singapore|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/15246084-4980-4876-ba46-85ee88143900/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Chensiyuan|cover|43|1
966|65|Dalian||5930140|number|Dalian - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/57fed9b8-72b1-40f9-2551-382eef94e100/public|Web Archive|https://web.archive.org/web/20161030113123/http://www.panoramio.com/user/2299690?with_photo_id=99520411|cover|43|1
967|66|Qingdao||5865232|number|Qingdao - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/115ae189-9671-4afb-4551-50a4a87aee00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Li_Chao|cover|43|1
968|67|Zhengzhou||5690312|number|Zhengzhou - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9c834a88-9da1-4bd3-7f5c-401eeeb43a00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Windmemories|cover|43|1
969|68|Ji Nan Shandong||5663015|number|Ji Nan Shandong - China|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bb1b2875-5ecd-4638-a289-edfb1980a200/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Ermell|cover|43|1
970|69|Barcelona||5658472|number|Barcelona - Spain|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/adc53869-1656-41ab-a89d-eec1d78dbf00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Diliff|cover|43|1
971|70|Saint Petersburg||5535556|number|Saint Petersburg - Russia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/f1145918-ffc2-4a9b-6212-598184c95100/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Florstein|cover|43|1
972|71|Abidjan||5515790|number|Abidjan - Ivory Coast|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c4829e90-60ea-4632-adaf-cd895125bb00/public|Wiki Commons|https://commons.wikimedia.org/w/index.php?title=User:Abdallahh&action=edit&redlink=1|cover|43|1
973|72|Yangon||5514454|number|Yangon - Myanmar|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/50d7bfbd-a2a5-4334-cefd-b3fdfa74d900/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Jmhullot|cover|43|1
974|73|Fukuoka||5502591|number|Fukuoka - Japan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ec7b022b-7c5e-47bc-5cf8-30a54da84a00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:%E3%81%9D%E3%82%89%E3%81%BF%E3%81%BF|cover|43|1
975|74|Alexandria||5483605|number|Alexandria - Egypt|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/03cdfed1-37a8-48ba-6cd2-2c3d4b6a6200/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Islam90|cover|43|1
976|75|Guadalajara||5339583|number|Guadalajara - Mexico|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/030d701d-12c3-44e6-dedf-15f75be5c100/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:Another_Believer|cover|43|1
977|76|Ankara||5309690|number|Ankara - Turkey|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9b0f6f4d-3dd5-4cd3-0c8e-c01807c16d00/public|Wiki Commons|https://commons.wikimedia.org/wiki/User:A.Savin|cover|43|1
978|77|Chittagong||5252842|number|Chittagong - Bangladesh|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/09adedd0-985e-49eb-de35-a6de5d58eb00/public|Wikidata|https://www.wikidata.org/wiki/Q28709819|cover|43|1
